#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      44.199269     0.67515161      39.615318      2.4678892      50.673938      8.8134582
            0.2      42.522593     0.59200519       38.78103     0.59268738      42.736175     0.61428282
            0.4      42.778852     0.55565425      39.105793     0.54675369      42.882738     0.55802265
            0.6      47.156331     0.60143869      43.211313     0.63450182      47.250681     0.60421546
            0.8       51.50058     0.64300307      47.259091     0.63697419      51.581585     0.64475844
              1      58.701106     0.66706971      54.313871     0.63062037       58.79399     0.66871786
            1.2      64.580862     0.72694613      57.611138      1.5021904      64.691992     0.72993375
            1.4      74.230358     0.74074446      69.157088     0.70621262       74.36291     0.74226459
            1.6      89.982184     0.80874429      83.586803     0.80658717       90.16188     0.81038485
            1.8      112.55346      1.0946574      105.03921      1.0353058      112.82759      1.1051843
              2       144.7978      1.0996996      135.00453       1.321495      145.21306      1.0910099
            2.2      194.27312      1.2928736      184.38176      1.2270799      195.03093      1.3002335
            2.4      257.84651      1.5514645      241.94274       5.017522      259.09245      1.5585239
            2.6      350.48796      1.5973885      335.77747      3.3167002      352.52184      1.6053203
            2.8      454.14066      1.8741379      446.13739      1.8500122      457.19622      1.8859317
              3      362.57178      4.3027859      362.17091      2.9114012      375.02896      2.6005521
            3.2      362.57178      4.3027859      362.17091      2.9114012      375.02896      2.6005521
