#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.13699632    0.029420823     0.13418719     0.02890426     0.13750684    0.029547588
           -3.8     0.34343053     0.04840009     0.33524623    0.047554107     0.34438693    0.048582829
           -3.6     0.40808982    0.054760634     0.38676158    0.052761989     0.41015438    0.055053592
           -3.4     0.91056264    0.095340558     0.85723888     0.08327581     0.91502682    0.095819609
           -3.2      1.2691747     0.10441211      1.2246194     0.10193336      1.2753192     0.10491155
             -3      2.5762632     0.14595611       2.478177     0.13547128      2.5859809     0.14663877
           -2.8      3.8879323     0.17210092      3.7778724     0.16576498      3.9034148     0.17278318
           -2.6      6.3726985     0.20937956       6.254019     0.20691204      6.3976029     0.21017879
           -2.4       9.796575     0.26629722      9.3057315     0.29090571      9.8357626     0.26727938
           -2.2       14.41642     0.33094772      13.836128     0.34007502      14.474288     0.33198275
             -2      20.672199     0.43593635      18.920334     0.76374424      20.763885     0.43766975
           -1.8      31.478212     0.53029406      28.763087      1.3047124      31.621287     0.53313772
           -1.6      44.852083     0.68001782      43.013725     0.68175755      45.058244     0.68560546
           -1.4      63.688736     0.69360671      60.910701     0.68163063      63.974171     0.69640673
           -1.2      87.971567     0.83661866      84.504997     0.81146334      92.708424      8.7152709
             -1      117.80776     0.94581185      112.69663     0.94469346      118.35346     0.94989992
           -0.8       153.6123      1.1071521      147.32761      1.0829192      154.40844      1.1182178
           -0.6      186.15712      1.1849187      179.20723      1.2864207      187.09779      1.1926321
           -0.4      218.21411      1.4866932      209.68092      1.4142434      219.39373      1.5103009
           -0.2      235.02145      1.3196025      225.85271      1.3876527      235.84974      1.3392317
              0       229.9024      4.1885831      223.52299      1.6314537      230.62199      2.7488622
            0.2      218.28047      1.2959909       207.4142      1.8582466      219.35772      1.3023886
            0.4      186.24397      1.1786359       178.5279      1.1581547      187.20468      1.1879683
            0.6      150.39672       1.083902      144.33899      1.0573349      151.12603       1.089672
            0.8      117.95171      1.0682739      112.66467      1.0546793      118.52087      1.0757883
              1      87.984176      1.0003464      83.863388     0.99009858      88.383713      1.0031872
            1.2      63.845323     0.71173657       60.94015      0.6865719      64.126201     0.71444677
            1.4      45.078378     0.59374911      43.312232     0.57520915      45.278231      0.5964329
            1.6      32.121701     0.61119018      30.869639      0.5543832      37.713075      7.1539115
            1.8      21.241969     0.42319173      16.910075      5.0037717      21.333012     0.42499676
              2      14.344135     0.32586503      13.848086     0.31504161        14.6013     0.70053064
            2.2      9.7425377     0.35100203       9.344293     0.32467975      9.7816394     0.35306203
            2.4      5.9441072     0.20024844      2.9406922      2.8126467       5.965575     0.20084049
            2.6      3.5200524      0.1579565      3.4005846     0.15328943      3.5338504     0.15850928
            2.8      2.3183245     0.13147197      2.2559251     0.12687949      2.3809783     0.18791579
              3      1.4647058     0.10040152       1.413689    0.097778082      1.4701632     0.10071938
            3.2      1.0224528    0.089600834     0.99691048    0.088913388      1.0255446    0.089968336
            3.4     0.59799526    0.068449236     0.59624721     0.06809101      0.6121746    0.069367295
            3.6     0.23675184    0.040254408     0.23543544    0.040031616     0.23780518    0.040418359
            3.8     0.16041888    0.034213951     0.04940466     0.11811579     0.16216181    0.034444143
              4     0.16041888    0.034213951     0.04940466     0.11811579     0.16216181    0.034444143
