#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.142003     0.42145921      19.752348     0.38974572      20.258815     0.42324305
            0.2      52.867621      3.9967233      51.033621      5.7683356      56.742108     0.64330493
            0.4      84.298966     0.79297945       82.71553     0.79587495      84.774289     0.79747249
            0.6      101.61752     0.86596606      99.871778     0.85283868      106.68078      7.1844571
            0.8      116.32361     0.94242293      114.14466     0.92490369      117.34739       9.959068
              1      120.18698     0.96275113       117.3706     0.95011935      120.78464     0.96699467
            1.2      125.54481     0.96809704      122.06184     0.94269671      126.14419     0.97252416
            1.4      130.08554      1.0771854      126.64568      1.0522513       130.7368      1.0890211
            1.6      136.91628      1.0588196      132.60806      1.0436697       137.5446      1.0650282
            1.8      141.50138      1.2138016      133.85206      3.0353613      142.11292      1.2255734
              2      156.90518      1.1477243       151.2457      1.0856578      157.64028      1.1578919
            2.2      172.41882      1.1459783      165.80318      1.1147552      173.20734      1.1515045
            2.4      192.52098      1.2953347      184.03469      1.3567078      193.41613      1.3036534
            2.6      216.40558      1.4608748      203.47119      1.8645456      217.48884      1.4699707
            2.8      246.04465      1.4471307      229.42236      1.6746842      247.27148      1.4520394
              3       239.6313       1.375753      225.12541      1.5176473      240.84888       1.387131
            3.2      80.635493     0.79216074      75.940272     0.97901362       81.00397     0.79527714
            3.4      31.217163     0.49588622      28.208948      1.6941753      31.348119     0.49775256
            3.6      14.411666     0.34350522       12.49643      1.0777511      14.469321     0.34481562
            3.8      6.3550252     0.21972379      5.9819605     0.25015895      6.3833618     0.22061312
              4      3.3815225     0.15893199      2.4343703     0.83449495       5.953132      2.6720691
            4.2      1.4653148     0.10487539      1.4057038     0.10026656      1.4703828     0.10522372
            4.4     0.68411722    0.067520643     0.57552011     0.10834639     0.68700226    0.067790894
            4.6     0.44248805    0.077411264     0.39252637    0.084111685     0.44464665    0.077955184
            4.8     0.22289989    0.093280275     0.21711483     0.09053507     0.22581468    0.095498977
              5     0.22289989    0.093280275     0.21711483     0.09053507     0.22581468    0.095498977
