#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      7.1527323     0.49860501      6.5473306     0.37462192      8.4463386     0.75560281
            0.2      16.485194     0.46271653      16.229004     0.43585693      17.295116     0.54870256
            0.4      26.209781     0.44924679      26.095622     0.44598356      26.811783     0.46794969
            0.6      34.346074     0.51837149      34.246945     0.51624441      34.782311     0.52767671
            0.8      41.073912     0.56604747       40.93639     0.56484537      41.509851     0.57847174
              1      50.150561     0.61060063      49.944641     0.60891845      50.588718     0.62109891
            1.2      58.004773     0.67313259      57.736833     0.67084642      58.408382     0.68017653
            1.4      67.768968      0.7126065      67.443899     0.70942007      68.220145     0.71770994
            1.6       82.22667      1.3694038      81.780808      1.2737883      82.812416      1.4999028
            1.8       98.51853     0.89416732      98.156624     0.89218542      99.398837     0.90744379
              2        126.866      1.3770651      126.43006      1.3685542      127.89292      1.3676088
            2.2      160.04732      1.1062268      159.55942      1.1040381      161.68301      1.1176413
            2.4       213.3839      1.3453286      212.78148      1.3395453      215.79783      1.3660925
            2.6       286.4965      1.5193517      285.69847      1.5178224      289.94136      1.5456378
            2.8      379.56573      1.7134749       378.3681      1.7089702      383.97278      1.7334313
              3       421.0682      2.5209784      418.78563      2.1366344      426.68855      3.1055398
            3.2      167.49618      1.1476133      166.64485      1.1431912      169.28103      1.1597402
            3.4      74.793887     0.79281531      74.439594     0.78984231      75.614177     0.80680602
            3.6      36.154365     0.64969494      35.979644     0.64729365       36.58153      0.6621941
            3.8      18.080056     0.37809089      17.986319     0.37589131      18.298773     0.38326762
              4      9.4600423     0.28133852      9.4307988     0.27722901      9.5707331     0.29091002
            4.2       5.744661     0.24386734      5.7048869     0.24261739      5.8343215     0.24733053
            4.4      2.8159194      0.1722071      2.7990422     0.17082067      2.8507836     0.17536621
            4.6      1.3328989     0.14422582      1.2911195      0.1697057       1.379781     0.12316753
            4.8     0.79279417    0.075148406     0.78592297    0.074462739     0.80638293    0.076554971
              5     0.79279417    0.075148406     0.78592297    0.074462739     0.80638293    0.076554971
