#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      44.608845     0.74664089      44.173456     0.66615292      46.196695      0.9479139
            0.2      43.944954     0.85118215      43.722322     0.84140973      44.771427     0.90450585
            0.4      45.756873      1.2736453      45.473118       1.170542      46.295689      1.2328708
            0.6      47.627811     0.59553425       47.44653     0.59434219      48.132007     0.60691507
            0.8      51.530186     0.62646479      51.306161     0.62420033       51.97717     0.63659898
              1      57.737955     0.67689836      57.525735     0.67587262      58.275204     0.68940468
            1.2      65.780048     0.71531615      65.518587      0.7147231      66.301016     0.72805232
            1.4      76.406898     0.78096173      76.127968     0.77968281      77.102693     0.79392481
            1.6      91.063713     0.83621283      90.710898     0.83281398      91.845492     0.84424072
            1.8      113.25511     0.95770269      112.86726     0.95596945      114.35896     0.96863967
              2      148.07739      1.3119873        147.584      1.3032763      149.41774      1.3013597
            2.2       192.7495      1.2821419      192.13352      1.2755021       194.9019       1.302374
            2.4      257.23438      1.5818915      256.47175      1.5878936      260.41139      1.6171573
            2.6      344.46453      1.6090923      343.36837      1.6052649      348.65981      1.6270062
            2.8      445.04712      1.8317265      443.48995      1.8267679      450.15995      1.8511962
              3      361.51196      2.3944329      359.46049      1.9791069      366.34192      2.9994725
            3.2      361.51196      2.3944329      359.46049      1.9791069      366.34192      2.9994725
