#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.100466     0.32092073      14.071952     0.32033996      14.273406     0.32465514
            0.2      39.038477     0.54171535      38.958571     0.54069556      39.529238     0.54827405
            0.4      59.113161     0.66544047      58.997924      0.6643195      59.785237     0.67240174
            0.6      76.072947     0.76560571      75.917203     0.76397696      76.946869     0.77492523
            0.8      89.211344      0.8190853       89.02576      0.8175843      90.162945     0.82674906
              1      99.733216     0.87456651       99.51783     0.87494137      100.80649     0.88616776
            1.2      108.16204     0.90369338      107.86414     0.90163984      109.26587     0.91325245
            1.4      115.80959      1.1751173      115.41688      1.1791837      116.79292      1.1583889
            1.6       126.3238     0.98346777       125.9075     0.98198749      127.57728     0.99486911
            1.8      136.14554      1.0272248      135.62062      1.0234804      137.46814      1.0373614
              2      149.48978      1.1274914       148.8951      1.1219175       150.9762      1.1396767
            2.2      166.52435      1.3339526      165.81747      1.3278842      168.25335      1.3581916
            2.4      187.81763      1.3077405      186.99433      1.3008094       189.9441      1.3396612
            2.6      213.07529      1.3228837      212.11949      1.3141533      215.77785      1.3825081
            2.8       238.5061      1.8331446      237.46768       1.761815      241.46129      1.8268091
              3      246.06784      2.1449877      244.64983       1.711487      250.33573      2.7502887
            3.2      117.97591      1.0251868      117.53379      1.0068365      119.78053      1.1088022
            3.4      68.697188      1.0789171      68.205928      1.0042437      69.807781       1.250234
            3.6      44.567505     0.60521909      44.407969     0.60241104       45.01599     0.61594293
            3.8      28.846907     0.47709677      28.713596     0.47519826       29.13004     0.48269283
              4      19.572357     0.39540235       19.49385     0.39434959      19.774195     0.40046233
            4.2      13.372015     0.33606384      13.318205     0.33663047      13.494105     0.34123794
            4.4      8.5337162     0.27655578      8.5013848     0.29400928      8.6322661     0.26516263
            4.6      6.0574017     0.21094529      6.0329017     0.21046091      6.1061792     0.21294483
            4.8      3.9717141     0.17716569      3.9575387     0.17714943      4.0159867      0.1811715
              5      3.9717141     0.17716569      3.9575387     0.17714943      4.0159867      0.1811715
