# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      3.4660068     0.14061875       3.463341     0.14047585      3.4701435     0.14084134
            0.2      9.7301537     0.23771059      9.7213218     0.23748692      9.7436453     0.23804927
            0.4      15.757784     0.30548359      15.742207     0.30509115      15.779515     0.30603411
            0.6      20.832193      0.3552727      20.809103     0.35478388      20.866056     0.35597477
            0.8      25.692322      0.3908352      25.660914     0.39023215      25.738822     0.39175742
              1      30.072042     0.42589331       30.03421     0.42524952      30.122751     0.42666169
            1.2      35.755742     0.46768259      35.699047     0.46717439      35.830895     0.46874458
            1.4      40.767462     0.50238816      40.697292     0.50153503      40.864549     0.50350629
            1.6      47.900488     0.54267771       47.81388     0.54165336      48.023054     0.54412384
            1.8      57.113552     0.60299332      57.003603     0.60172452      57.262794     0.60485413
              2      69.725671     0.67201882      69.563041     0.67028171      69.939897     0.67467089
            2.2      89.503701     0.78068507      89.257433     0.77823199      89.927427     0.78601637
            2.4       118.9982     0.92488064      118.60159     0.91991074      119.89705      0.9606895
            2.6      174.11386       1.171545      173.42826      1.1635745      175.90615      1.2089094
            2.8      290.82845      1.8574768      289.42313      1.7840566      294.47079      1.8493772
              3       553.0869      2.8387253      550.43417      2.5275698      562.53713       3.330532
            3.2      313.58963      1.8656357      312.18925      1.8129583      319.01597      2.0299193
            3.4      172.73351      1.2305849      172.15913      1.2289272      175.35557      1.2533401
            3.6      103.92786     0.95908193      103.59067     0.95391064      105.29448     0.97532901
            3.8      66.323096      0.7624774      66.057731     0.76047545      67.178768     0.77117311
              4      43.427466     0.69441164      43.251456     0.69223437      43.980784     0.71549112
            4.2      29.532186     0.50980847      29.402843     0.50926989      29.868534     0.51680567
            4.4      20.236416     0.40752886      20.143325     0.40637602      20.454373     0.41232335
            4.6       14.50393     0.34986768      14.433303      0.3485701      14.640668     0.35324998
            4.8      10.856707     0.29962319       10.80614     0.29918439      10.953798     0.30334781
              5      10.856707     0.29962319       10.80614     0.29918439      10.953798     0.30334781
