#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.6213554    0.025540552      3.1893878    0.022511047      4.0861666     0.02895364
           -3.8      5.2382014    0.030678718      4.6142712    0.027039246      5.9085436    0.034797917
           -3.6      7.5080759      0.0366999      6.6189794    0.032381441      8.4595764    0.041552464
           -3.4       10.51134    0.043384793      9.2645561    0.038278471      11.845922    0.049147976
           -3.2      14.559402    0.051000109      12.840474    0.045098685       16.38989    0.058091897
             -3      19.709464     0.05924435      17.381346    0.052291354      22.188062    0.067050692
           -2.8      26.044819    0.067950127      22.980546    0.060025628      29.291997    0.076829124
           -2.6      33.517786     0.07688902      29.586889    0.068048503      37.667793    0.087142377
           -2.4      41.633862    0.085492124      36.763685    0.075578029      46.758325    0.096513611
           -2.2      50.272943    0.093715508      44.417192    0.083336756      56.406947     0.10702096
             -2      59.168898      0.1014234        52.2783    0.089691472      66.371774     0.11433222
           -1.8      67.303778     0.10789309      59.489701      0.0954909      75.441042     0.12159953
           -1.6      74.435589     0.11324639      65.808839     0.10022726       83.38278     0.12750699
           -1.4      80.525614      0.1175833      71.202689     0.10407478      90.164635     0.13230316
           -1.2      84.700095     0.12046349      74.919327     0.10666619      94.766871     0.13559728
             -1      87.165983     0.12212039      77.105089     0.10811059       97.49376     0.13728609
           -0.8      87.936397     0.12262414      77.798639     0.10860112       98.30682     0.13787052
           -0.6      87.879435     0.12259706      77.751623     0.10859508      98.213844     0.13789807
           -0.4      87.864899     0.12257565      77.740059     0.10859252      98.183138     0.13786759
           -0.2       87.17047     0.12212085      77.133193     0.10818543      97.386204     0.13735551
              0       87.52237     0.12235649      77.439385     0.10835509      97.789227      0.1375306
            0.2      87.740215     0.12249605       77.64411     0.10859485      98.017172     0.13802914
            0.4      88.056904     0.12270505      77.909712     0.10869468      98.416681     0.13800034
            0.6      87.896299     0.12259887      77.758155      0.1085921      98.272237     0.13795201
            0.8      86.842754     0.12191787      76.819873     0.10797099      97.124138     0.13723608
              1      84.547096     0.12036327      74.781379     0.10658672      94.601714     0.13554351
            1.2      80.403382     0.11750022        71.0941     0.10400039      90.027272     0.13219374
            1.4      74.634776     0.11339843      65.980494     0.10036352      83.613601     0.12781554
            1.6      67.522464     0.10807133      59.683412    0.095633667      75.682685     0.12179401
            1.8      59.165871     0.10140061      52.282142    0.089695263      66.359601     0.11428004
              2      50.371411    0.093809311       44.50769    0.086188994      56.501855     0.11873712
            2.2      41.568066     0.08543339      36.702597    0.075505391      46.692416    0.096465397
            2.4      33.416425    0.076771147      29.495283    0.067832083      37.557924    0.086738409
            2.6      26.030404    0.067930941      22.961437    0.059987864      29.289156      0.0767906
            2.8      19.758786    0.059308326      17.426168    0.052357317      22.239483     0.06716786
              3      14.663993    0.051162483      12.924463    0.045132045      16.520297    0.057999964
            3.2      10.493325    0.043348774      9.2496617    0.038259673      11.824582    0.049130145
            3.4      7.5619127    0.036880649      6.6628165    0.032522744       8.526609    0.041837913
            3.6      5.2724765    0.030843137      4.6437195    0.027182002      5.9490808    0.034989884
            3.8      3.7095574    0.025865326      3.2666667     0.02279056      4.1870837    0.029353578
              4      3.7095574    0.025865326      3.2666667     0.02279056      4.1870837    0.029353578
