#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      4.8978881    0.029598352      4.2984263    0.026017142      5.5668824    0.033841061
            0.2      14.337456    0.050405893      12.619325    0.044445784      16.228615    0.057254832
            0.4       23.01227    0.063701257      20.281464    0.056254811      25.995031    0.072192408
            0.6      30.748846    0.073493305      27.117952    0.064916657      34.693988    0.083180849
            0.8       37.72218    0.081261919      33.292311    0.071841777      42.512964    0.091901313
              1      44.646845    0.088257542      39.404158    0.078013296      50.299705    0.099719202
            1.2      51.884076      0.0949824      45.797456    0.083958795       58.42498      0.1072586
            1.4      60.636777     0.10246562      53.554369    0.090663113      68.204513     0.11574809
            1.6      71.632276     0.11106949      63.284188    0.098261031      80.508936     0.12522433
            1.8      86.728164     0.12175576      76.670317     0.10777401      97.349479     0.13710445
              2      108.03793     0.13515697      95.581082     0.11972473      121.08084      0.1519912
            2.2      139.39007     0.15227617      123.46102     0.13511488       155.8878      0.1711025
            2.4      184.38541     0.17305614      163.53226     0.15545786      205.69415     0.20122583
            2.6      247.17653     0.19700253      219.46294     0.17516169      275.15204     0.22041551
            2.8      327.41455     0.22167587      291.02237     0.19728005      363.67685     0.24766218
              3      362.75292     0.23105121      322.29282     0.20554673      402.90461     0.25873818
            3.2      140.49116     0.15319589      123.13194     0.13474636      158.73214     0.17605302
            3.4      58.787975     0.10149343      50.779655    0.087619315      67.629913     0.11802275
            3.6      27.256292    0.069962833      23.254629    0.059658219      31.828564    0.082845344
            3.8      13.294623    0.049561706      11.202045    0.041641638       15.75946    0.059485605
              4      6.7284005    0.035889368      5.6077607    0.029839004       8.078865    0.043875754
            4.2      3.5013979    0.026430119      2.8886803    0.021742229      4.2550233    0.032524983
            4.4      1.8932164    0.020103358      1.5497005    0.016358405      2.3213081     0.02503461
            4.6      0.9906649    0.014809337      0.8028573    0.011969622      1.2293003    0.018538076
            4.8     0.52791805    0.011250909     0.42533202   0.0090397359     0.65932297    0.014228208
              5     0.52791805    0.011250909     0.42533202   0.0090397359     0.65932297    0.014228208
