# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3      95.733807    0.065729472      78.039485    0.062034036      119.60882    0.077869086
            3.2      105.75855    0.064380327      87.018715    0.060271043      131.70279    0.080159512
            3.4      53.066415    0.045090101      44.422535    0.042393901      65.300605    0.058692429
            3.6      30.129248    0.036670382      25.553778    0.034679965      36.713715    0.046484289
            3.8      17.938464    0.027647522      15.401725    0.025992144      21.623794    0.032081975
              4      11.165419    0.022771469      9.6660892    0.021440458      13.377659    0.025616802
            4.2      7.3029228    0.017172627      6.3715536    0.015433848       8.688638    0.020829416
            4.4      4.9213141    0.014244707      4.3199081    0.012869964      5.8312963    0.016923855
            4.6      3.4342366    0.012039829      3.0272725    0.010942688      4.0633796    0.015799859
            4.8      2.4581815   0.0095641832      2.1874129   0.0086620422      2.8771713    0.011499333
              5      2.4581815   0.0095641832      2.1874129   0.0086620422      2.8771713    0.011499333
