#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.186451    0.026378208      14.453458    0.024057944      18.630928    0.030625704
            0.2      15.895202    0.026089509      14.172286    0.023851633      18.337659     0.02900672
            0.4      15.655086     0.02636858      13.892953    0.024129465      18.159582    0.030759163
            0.6      15.417755    0.026902546        13.6026    0.025634008      17.992889    0.028731661
            0.8      15.429245    0.026112142      13.514443    0.025672316      18.131681    0.032882451
              1      15.626416    0.026260661        13.5806    0.024147741      18.499703    0.029790543
            1.2      16.141285     0.02607039      13.900903     0.02352712      19.261282    0.030758945
            1.4      16.970136    0.026282139      14.457737    0.023790182      20.461984    0.032368689
            1.6      18.192305    0.025937839      15.322863    0.023601511      22.145134    0.034374486
            1.8      19.897441    0.027335917      16.552676      0.0250537      24.479959    0.036038433
              2       22.16321    0.030634919      18.188185    0.027173772      27.582558    0.043222388
            2.2      25.196277    0.031898813      20.468954    0.027391929      31.597412    0.045870028
            2.4      28.925672    0.035798044      23.236483    0.032953027      36.618998     0.04592769
            2.6      33.453525    0.034788112      26.658435    0.031878741      42.721899    0.047901279
            2.8      37.407607    0.040284514      29.623034    0.038801908      48.369425     0.04800378
              3      26.854634    0.050430755      21.093883     0.08138192      35.398962    0.052930672
            3.2      26.854634    0.050430755      21.093883     0.08138192      35.398962    0.052930672
